track_name,artist_name,year,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,language,mood,spotify_link
Bhaga Bhaga,Anirudh Ravichander,2017,30,0.0138,0.58,0.885,0.000251,6,0.334,-7.311,0.113,103.157,0.593,English,Neutral,https://open.spotify.com/track/7HSYxp0fDJBHfWu3omfBd7
Puduthu Thechindi,Anirudh Ravichander,2017,19,0.28,0.653,0.882,0.00028,9,0.0883,-7.136,0.0429,89.973,0.67,Hindi,Energetic,https://open.spotify.com/track/3I54qrQyksYE0Hj3hGPJG6
"Ro Ne Do (From ""3 (Hindi)"") - The Pain of Love",Anirudh Ravichander,2012,8,0.399,0.386,0.618,4.27E-05,4,0.118,-6.723,0.0541,179.963,0.331,Hindi,Neutral,https://open.spotify.com/track/12tkxlh5uI3mYkRIdTYkY9
Cinema,Santhosh Narayanan,2023,12,0.91,0.359,0.25,0.00636,10,0.121,-11.407,0.0329,64.938,0.0397,Hindi,Sad,https://open.spotify.com/track/0Q7O7uWDnqIbRw5XDIufQ8
Patakha - Original Motion Picture Soundtrack,Santhosh Narayanan,2023,12,0.174,0.754,0.834,1.39E-05,1,0.106,-4.562,0.4,159.887,0.752,Hindi,Happy,https://open.spotify.com/track/042jbrsZgf9EPjX6wEuD5y
"10000 Pax - From ""Jigarthanda Doublex""",Santhosh Narayanan,2023,8,0.175,0.607,0.801,0,8,0.141,-3.586,0.0518,149.918,0.251,Hindi,Energetic,https://open.spotify.com/track/1Pgn04fGnXddcY1NyT2Stq
Libasa - Original Motion Picture Soundtrack,Santhosh Narayanan,2023,7,0.452,0.824,0.681,0,9,0.144,-6.909,0.317,120.052,0.851,Hindi,Energetic,https://open.spotify.com/track/3Cr9dfXWXm1ANYTbhXEkOr
Ratnagiri - Original Motion Picture Soundtrack,Santhosh Narayanan,2023,11,0.114,0.734,0.937,0.000747,11,0.0827,-7.276,0.243,95.941,0.581,Hindi,Energetic,https://open.spotify.com/track/04QACMu8ANq2S4lvxLmyr2
Vaaran Unna Vechiseyya Poraan,Santhosh Hariharan,2019,0,0.416,0.69,0.959,0.00153,4,0.235,-7.023,0.0545,129.968,0.754,English,Happy,https://open.spotify.com/track/3sOQaED4oONy3cMR8ywwE5
Venchindi Venchindi,Santhosh Narayanan,2014,0,0.348,0.873,0.688,0.00451,2,0.0685,-5.84,0.0366,104.992,0.396,Hindi,Energetic,https://open.spotify.com/track/1QryE647E5h3QrUdsl258N
Va Va Va Vannila,Hiphop Tamizha,2015,48,0.274,0.589,0.746,0,1,0.167,-4.394,0.0252,81.994,0.928,Hindi,Happy,https://open.spotify.com/track/0DvOnDwiLulHMdLieKFQiy
"Eppa Paarthaalum (From ""Aalambana"")",Hiphop Tamizha,2021,31,0.288,0.638,0.767,0,6,0.419,-4.891,0.0404,97.956,0.417,Hindi,Energetic,https://open.spotify.com/track/01BG3nz15nAClNg1B6K0Ah
Eppa Paarthaalum,Hiphop Tamizha,2022,27,0.288,0.637,0.77,0,6,0.43,-4.89,0.0397,97.97,0.416,Hindi,Energetic,https://open.spotify.com/track/01BG3nz15nAClNg1B6K0Ah
"Shades Of Love (From ""Iraivan"")",Yuvan Shankar Raja,2023,8,0.772,0.391,0.468,0.0701,5,0.0943,-7.32,0.0459,94.959,0.456,Hindi,Calm,https://open.spotify.com/track/1elggy68XHm0PO1gYKLo9f
Dhana Dhani,Yuvan Shankar Raja,2022,2,0.116,0.656,0.848,0,8,0.273,-6.023,0.229,150.056,0.569,Hindi,Energetic,https://open.spotify.com/track/0FEYMfgBP4cd2HCIMgQKJj
Dekhi Lahu,Yuvan Shankar Raja,2022,1,0.564,0.621,0.403,0.00113,0,0.0653,-10.023,0.028,114.886,0.419,Hindi,Neutral,https://open.spotify.com/track/21v62W9yOoronSP1zlVO6r
Whistle Theme - Hindi,Yuvan Shankar Raja,2022,1,0.0358,0.715,0.561,0.619,11,0.0946,-9.356,0.0416,140.052,0.185,Hindi,Neutral,https://open.spotify.com/track/4lTGOtaYybyJK4wb1ZLrfx
Mother Song - Hindi,Yuvan Shankar Raja,2022,2,0.469,0.582,0.507,1.16E-05,9,0.21,-9.439,0.0336,129.966,0.541,Hindi,Neutral,https://open.spotify.com/track/65I6Evn0lTc2vPRbIo7r2J
"Per Vachaalum Vaikkaama (From ""Dikkiloona"")",Yuvan Shankar Raja,2021,51,0.305,0.761,0.917,0.918,9,0.0603,-4.049,0.115,74.995,0.926,English,Happy,https://open.spotify.com/track/5zDRx2IlpoiNHBpmG4btVN
Per Vachaalum Vaikkaama,Yuvan Shankar Raja,2021,47,0.302,0.754,0.917,0.926,9,0.0582,-4.049,0.118,75.009,0.929,English,Happy,https://open.spotify.com/track/5zDRx2IlpoiNHBpmG4btVN
"Aedho Saigirai (From ""Vaamanan"")",Yuvan Shankar Raja,2018,22,0.167,0.639,0.64,0.00116,0,0.0937,-8.381,0.0321,84.987,0.366,Hindi,Energetic,https://open.spotify.com/track/3XEoa8R8XtnVV67uurLZsJ
Adige,Yuvan Shankar Raja,2018,17,0.331,0.725,0.732,0.00365,8,0.0923,-7.016,0.0366,139.947,0.475,English,Energetic,https://open.spotify.com/track/5f3JBtlxkIc3ugupBjMmje
"Adige (From ""Abhimanyudu"")",Yuvan Shankar Raja,2018,11,0.331,0.725,0.732,0.00365,8,0.0923,-7.016,0.0366,139.947,0.475,English,Energetic,https://open.spotify.com/track/5f3JBtlxkIc3ugupBjMmje
Yevvaro,Yuvan Shankar Raja,2018,5,0.107,0.588,0.863,0.000312,2,0.0925,-4.51,0.073,129.861,0.28,English,Neutral,https://open.spotify.com/track/4VplwDbYfbbU8n1PenWGCI
Nene Kani Nenai Undaga,Yuvan Shankar Raja,2014,45,0.422,0.436,0.789,2.82E-06,6,0.108,-6.517,0.0726,79.367,0.383,English,Neutral,https://open.spotify.com/track/2gEaHPwh5TyppYpSp7V6iF
Thanu Gorantha,Yuvan Shankar Raja,2014,30,0.0576,0.762,0.719,7.09E-06,3,0.0638,-6.544,0.131,149.985,0.73,English,Happy,https://open.spotify.com/track/70JnsOIsOg14mhVQTJdNMy
"Chinnan Sirisu (From ""Kungumapoovum Konjumpuraavum"")",Yuvan Shankar Raja,2013,40,0.751,0.7,0.508,1.99E-05,8,0.0934,-8.461,0.0483,150.1,0.376,Hindi,Neutral,https://open.spotify.com/track/0UaTQTr82RLPXwsTIZsX2a
Oru Maalai Neram,Yuvan Shankar Raja,2010,26,0.507,0.768,0.633,5.11E-06,8,0.077,-8.158,0.0553,94.981,0.498,Hindi,Energetic,https://open.spotify.com/track/0UaTQTr82RLPXwsTIZsX2a
Siragugal,Yuvan Shankar Raja,2009,59,0.185,0.638,0.915,0.000139,10,0.085,-3.271,0.149,169.971,0.598,Hindi,Energetic,https://open.spotify.com/track/7kLnZVFaLIYKb34H2GFjwI
Aedho Saigirai,Yuvan Shankar Raja,2009,51,0.166,0.639,0.641,0.00113,0,0.0937,-8.381,0.0321,84.992,0.366,Hindi,Energetic,https://open.spotify.com/track/4XFNtx84dAt6jxKEniIVuY
Chinnan Sirisu,Yuvan Shankar Raja,2009,43,0.751,0.7,0.508,1.99E-05,8,0.0934,-8.461,0.0483,150.1,0.376,Hindi,Neutral,https://open.spotify.com/track/70B5h4N91r4FSPcMxZcxOF
Danger Pilla,Harris Jayaraj,2023,47,0.489,0.721,0.547,0.014,6,0.156,-8.461,0.0663,76.999,0.666,Hindi,Neutral,https://open.spotify.com/track/4kouboIMeUzyGc1jXbUxet
Kone Komaane,Harris Jayaraj,2022,27,0.332,0.81,0.787,0,9,0.107,-6.637,0.0624,102.026,0.552,Hindi,Energetic,https://open.spotify.com/track/0pgcemvSQD0ZdZBDtZqY5o
"Mosalo Mosalu - From ""The Legend""",Harris Jayaraj,2022,27,0.0478,0.775,0.836,0.00555,10,0.0797,-5.514,0.0912,96.952,0.704,Hindi,Happy,https://open.spotify.com/track/3ag1ImLPQDHjng5UogKWKd
Mosalo Mosalu,Harris Jayaraj,2022,25,0.0478,0.775,0.836,0.00555,10,0.0797,-5.514,0.0912,96.952,0.704,Hindi,Happy,https://open.spotify.com/track/3ag1ImLPQDHjng5UogKWKd
Popopo,Harris Jayaraj,2022,2,0.829,0.85,0.629,0.0733,6,0.205,-7.394,0.107,101.04,0.774,English,Energetic,https://open.spotify.com/track/6Fi9IYh6YWX3y70dyK1rRQ
Pattazhakum,Harris Jayaraj,2022,2,0.391,0.859,0.67,5.36E-05,5,0.0807,-9.442,0.156,131.964,0.817,English,Energetic,https://open.spotify.com/track/6ryzOySz2QrwweYMdCcllT
Saravana Theme,Harris Jayaraj,2022,2,0.694,0.795,0.717,0.501,8,0.078,-8.488,0.0552,106.021,0.137,English,Energetic,https://open.spotify.com/track/0aD6F1NNlnd45hjlviUKem
AA Sivane,Harris Jayaraj,2022,0,0.399,0.613,0.67,5.48E-05,7,0.076,-9.296,0.28,132.01,0.789,English,Energetic,https://open.spotify.com/track/7lAJ9mhkmgojFac0UzVo0n
Kurilae Kurilae,Harris Jayaraj,2019,23,0.0212,0.876,0.751,0.0045,2,0.115,-5.806,0.0524,136.024,0.517,Hindi,Energetic,https://open.spotify.com/track/53cKY9GtLSIppeyA591vzq
Palike Palike,Harris Jayaraj,2019,4,0.0412,0.881,0.774,0.00438,0,0.105,-5.917,0.0578,136.039,0.559,Hindi,Energetic,https://open.spotify.com/track/68BG0XCVBaxGd24ADTzzOt
"Kurilae Kurilae (From ""Kaappaan"")",Harris Jayaraj,2019,13,0.0208,0.874,0.75,0.0052,9,0.116,-5.81,0.0514,136.044,0.519,Hindi,Energetic,https://open.spotify.com/track/53cKY9GtLSIppeyA591vzq
"Kaal Mulaitha Poovae (From ""Maattrraan"")",Harris Jayaraj,2017,3,0.279,0.783,0.651,9.56E-05,2,0.0555,-6.753,0.0614,113.973,0.658,Hindi,Energetic,https://open.spotify.com/track/01Ki4fhVV0jlvzAgXNRLD0
Kaal Mulaitha Poovae,Harris Jayaraj,2012,50,0.279,0.783,0.651,9.56E-05,2,0.0555,-6.753,0.0614,113.973,0.658,Hindi,Energetic,https://open.spotify.com/track/1jR3y5I3SZ7ey8g4OKxodr
Daachindi Manne,G. V. Prakash,2010,8,0.577,0.68,0.471,1.31E-05,5,0.0961,-10.168,0.0389,92.021,0.232,Hindi,Calm,https://open.spotify.com/track/2abIyh72MXk4LOzeM5ZSAc
Boss Party,Devi Sri Prasad,2023,5,0.0503,0.821,0.695,2.39E-06,7,0.572,-8.317,0.298,71.993,0.724,Hindi,Energetic,https://open.spotify.com/track/4sJ9X27MSCue4d0t48MXwe
Poonakalu Loading,Devi Sri Prasad,2023,5,0.588,0.813,0.933,8.87E-05,11,0.1,-7.427,0.27,89.986,0.528,Hindi,Energetic,https://open.spotify.com/track/3kXKAoPHrhXfNCUS5swQP8
Sridevi,Devi Sri Prasad,2023,1,0.528,0.787,0.566,0.000227,5,0.0507,-10.083,0.211,82.477,0.873,Hindi,Neutral,https://open.spotify.com/track/417fjHB7tqIaovwPvWskHX
Kothaga Ledhenti,Devi Sri Prasad,2022,30,0.265,0.636,0.571,1.24E-05,9,0.189,-7.93,0.0654,87.769,0.425,Hindi,Neutral,https://open.spotify.com/track/2rg8MfDquTLraXqUNZMapm
Siri Siri Muvvallona,Devi Sri Prasad,2022,28,0.337,0.834,0.599,0,6,0.0898,-9.096,0.138,104.002,0.727,Hindi,Neutral,https://open.spotify.com/track/56HtB9QmaZ5UTuXxNni396
"Kothaga Ledhenti (From ""Ranga Ranga Vaibhavanga"")",Devi Sri Prasad,2022,29,0.265,0.636,0.571,1.24E-05,9,0.189,-7.93,0.0654,87.769,0.425,Hindi,Neutral,https://open.spotify.com/track/4rPik0gJagZ4RJRmeRQ1K6
"Siri Siri Muvvallona (From ""Ranga Ranga Vaibhavanga"")",Devi Sri Prasad,2022,24,0.337,0.834,0.599,0,6,0.0898,-9.096,0.138,104.002,0.727,Hindi,Neutral,https://open.spotify.com/track/1ATGKQGak8Yqx7zuc6bZEY
Padipoya,Devi Sri Prasad,2021,31,0.804,0.719,0.646,0,0,0.217,-8.081,0.0395,93.986,0.63,Hindi,Energetic,https://open.spotify.com/track/5t8AeS3edEZdD7iK5pWRN9
"Jingiliya (From ""Puli"")",Devi Sri Prasad,2017,1,0.209,0.574,0.919,5.08E-05,11,0.167,-4.891,0.191,141.875,0.733,Hindi,Happy,https://open.spotify.com/track/7a78rhVbUl6ph2frETwVgg
Jingiliya,Devi Sri Prasad,2015,40,0.209,0.574,0.919,5.08E-05,11,0.167,-4.891,0.191,141.875,0.733,Hindi,Happy,https://open.spotify.com/track/0zhHWsGcGfkmlMW5Z6XseV
Ladhjaa,Devi Sri Prasad,2015,3,0.508,0.717,0.932,2.97E-05,8,0.342,-5.251,0.0653,93.989,0.775,Hindi,Happy,https://open.spotify.com/track/6C86LzQkkQmHoxrFUcrEZs
Baadalon,Devi Sri Prasad,2015,11,0.33,0.709,0.798,2.93E-05,2,0.143,-6.281,0.113,139.745,0.599,Hindi,Energetic,https://open.spotify.com/track/3xcBkRn079tmI0e3tLqzV2
Teri Meri,Devi Sri Prasad,2015,8,0.455,0.691,0.724,4.20E-05,2,0.111,-6.981,0.0373,142.456,0.577,Hindi,Energetic,https://open.spotify.com/track/72Lt5TQxTIoLegwRkKB7og
Puli,Devi Sri Prasad,2015,3,0.253,0.556,0.888,0.000109,0,0.123,-5.813,0.135,83.859,0.788,Hindi,Happy,https://open.spotify.com/track/5VH4LOEQckMW517NiihFnC
Loot Maar,Devi Sri Prasad,2015,3,0.147,0.715,0.772,2.43E-05,0,0.121,-4.934,0.127,78.615,0.913,Hindi,Happy,https://open.spotify.com/track/00O1Wyxdghf5wXGwF7RpSx
Chalore Chalore (Hindi),Devi Sri Prasad,2008,39,0.425,0.776,0.639,0.00224,5,0.0543,-8.845,0.0813,99.987,0.934,Hindi,Energetic,https://open.spotify.com/track/3U2CHs5bINydvVwt0y9PuG
Kurchi Madathapetti,Thaman S,2024,24,0.64,0.736,0.789,0.000109,0,0.258,-10.927,0.519,164.9,0.791,Hindi,Happy,https://open.spotify.com/track/0hY9eA74QrMCJuWEx7fo9y
Dum Masala,Thaman S,2024,20,0.625,0.745,0.741,0,5,0.381,-11.215,0.187,98.957,0.688,Hindi,Energetic,https://open.spotify.com/track/534iKGEDubP2xHxZECgzJy
Hoonadhe Aaj,Thaman S,2024,14,0.814,0.819,0.771,0.000282,6,0.472,-12.489,0.277,127.939,0.862,Hindi,Happy,https://open.spotify.com/track/6c5eEeDqcIuvmijrN2svaV
Kata Kata,Thaman S,2024,14,0.602,0.572,0.632,1.06E-06,5,0.297,-12.731,0.475,144.24,0.534,Hindi,Neutral,https://open.spotify.com/track/4ks8mT0M9MUQbfYxyPFS02
Oh My Baby,Thaman S,2024,17,0.744,0.596,0.648,0,5,0.192,-11.819,0.466,172.347,0.961,Hindi,Neutral,https://open.spotify.com/track/0yR49HoYJsJ27ey9rrtKql
"Dummare Dumma (From ""Skanda"")",Thaman S,2023,14,0.426,0.688,0.761,0.00534,11,0.322,-8.128,0.0662,115.024,0.62,Hindi,Energetic,https://open.spotify.com/track/0r4Qg8LD1uUnynHlcZbOJL
Sye Dhalapathi,Thaman S,2023,30,0.608,0.727,0.902,0.00024,10,0.219,-4.662,0.132,130.02,0.908,English,Happy,https://open.spotify.com/track/5gmpntQF0Phrk6wtmm5GOJ
Le Padara,Thaman S,2023,22,0.74,0.648,0.915,0.0201,11,0.119,-7.967,0.157,138.999,0.675,English,Energetic,https://open.spotify.com/track/2DZO5N08xSr1VBY4XbWaDy
"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",Thaman S,2023,23,0.513,0.772,0.994,0.0424,4,0.205,-4.286,0.223,94.894,0.206,Hindi,Energetic,https://open.spotify.com/track/2imo0byBr2QXBqEdfB8gxT
Thee Thalapathy Song,Thaman S,2023,13,0.519,0.721,0.923,1.79E-06,5,0.186,-4.61,0.142,130.06,0.849,English,Happy,https://open.spotify.com/track/3H8CHKyoHg33KD5R6xsoSX
"Gandarabai (From ""Skanda"")",Thaman S,2023,6,0.206,0.753,0.92,0.0179,10,0.0529,-5.377,0.0871,136.052,0.63,English,Energetic,https://open.spotify.com/track/0SQIFK6K3ZBZQnn3ocFQAe
Vaa Thalaiva,Thaman S,2023,16,0.718,0.614,0.918,0.00133,6,0.108,-8.071,0.109,139.028,0.779,English,Happy,https://open.spotify.com/track/4H2ILdDNn6jkE7REM5skJC
Vaa Thalaivaa,Thaman S,2022,53,0.731,0.617,0.923,0.0483,6,0.115,-7.568,0.11,139.083,0.752,English,Happy,https://open.spotify.com/track/4H2ILdDNn6jkE7REM5skJC
Ala Vaikunthapurramuloo Dj Mashup,Thaman S,2022,30,0.511,0.458,0.708,6.47E-05,2,0.387,-6.687,0.135,117.399,0.376,Hindi,Neutral,https://open.spotify.com/track/0sNzofVXGq7mAT3JvKOxy3
"Tum Tum (From ""Enemy - Hindi"")",Thaman S,2022,22,0.838,0.763,0.769,3.19E-05,10,0.0927,-5.505,0.176,147.011,0.931,Hindi,Happy,https://open.spotify.com/track/1vpxoYhALu28A86BEVdHio
Farewell Song,Thaman S,2022,18,0.722,0.651,0.693,0.000411,2,0.113,-9.87,0.0356,107.991,0.662,Hindi,Energetic,https://open.spotify.com/track/1zU8cybPj0Y1QTReskHOCu
Kanti Papa,Thaman S,2021,52,0.798,0.684,0.787,0.104,9,0.407,-7.617,0.0322,101.06,0.786,Hindi,Happy,https://open.spotify.com/track/4WSam3pcMqExTIVFP9IB3Y
Thamizhan Pattu,Thaman S,2021,38,0.582,0.277,0.988,2.94E-05,10,0.301,-4.711,0.213,85.393,0.465,English,Neutral,https://open.spotify.com/track/4kuADQabwP6t2GIRbZiNDL
Eeswaran (Title Song),Thaman S,2021,32,0.256,0.576,0.974,0.000201,5,0.263,-5.822,0.111,97.501,0.322,English,Neutral,https://open.spotify.com/track/7HCN0m6CJ0Gf74U66P6xWc
Desh Ka Yodha,Thaman S,2021,24,0.865,0.393,0.478,2.99E-06,0,0.303,-6.174,0.0269,92.228,0.293,Hindi,Calm,https://open.spotify.com/track/2g61l4CePsINXfsOKhCnED
Kunniyuva,Thaman S,2021,2,0.777,0.524,0.367,0.000881,5,0.0847,-8.061,0.0293,81.044,0.209,English,Sad,https://open.spotify.com/track/3hy4rltqFaHqqJIFxDnBWg
Hodi Pe Aaja Raja,Thaman S,2021,0,0.122,0.852,0.814,1.18E-05,7,0.0543,-3.592,0.0622,127.971,0.486,Hindi,Energetic,https://open.spotify.com/track/1bcOnHGvdGO2gFphqWBbaO
Tera Hua,Thaman S,2021,0,0.866,0.389,0.505,6.38E-05,10,0.169,-6.065,0.0408,184.679,0.372,Hindi,Neutral,https://open.spotify.com/track/2ygt3hWnRLBFXgObee6iTz
Power of Youth,Thaman S,2021,0,0.294,0.687,0.881,2.90E-05,1,0.126,-3.053,0.064,101.037,0.653,Hindi,Energetic,https://open.spotify.com/track/2IckCVwaV0cndv6Ft4l8Hy
Feel the Power,Thaman S,2021,0,0.0233,0.538,0.913,0.235,0,0.734,-3.051,0.0738,104.991,0.337,Hindi,Neutral,https://open.spotify.com/track/6ElpsqxGqQycEAhQCe0tx5
"No Pelli (From ""Solo Brathuke So Better"")",Thaman S,2020,34,0.353,0.723,0.637,1.15E-05,1,0.104,-7.004,0.0928,172.14,0.732,Hindi,Energetic,https://open.spotify.com/track/5JLGvoeMHpVLMPYsqtXvqv
No Pelli,Thaman S,2020,27,0.365,0.725,0.637,1.20E-05,1,0.107,-7.004,0.0961,172.145,0.728,Hindi,Energetic,https://open.spotify.com/track/5JLGvoeMHpVLMPYsqtXvqv
"Thamizhan Pattu - From ""Eeswaran""",Thaman S,2020,27,0.58,0.541,0.987,4.01E-05,10,0.308,-4.71,0.0968,91.467,0.56,English,Neutral,https://open.spotify.com/track/7dzd16nobm8JYrg0zAr7MF
"Koppamga Koppamga - From ""Mr. Majnu""",Thaman S,2019,56,0.33,0.78,0.68,2.85E-05,1,0.0677,-3.939,0.0279,101.021,0.486,Hindi,Energetic,https://open.spotify.com/track/0Z3zGNsygprNlSMAX6vAvc
"Yemainado - From ""Mr. Majnu""",Thaman S,2019,47,0.856,0.635,0.226,0.000101,9,0.0895,-6.367,0.0325,127.948,0.376,Hindi,Sad,https://open.spotify.com/track/3wjx2rUwWGmTJmSPX9tgPu
"Vaanam Thoorammalae - From ""Sketch""",Thaman S,2018,12,0.802,0.622,0.596,0.000152,8,0.0838,-8.188,0.0423,91.015,0.439,English,Neutral,https://open.spotify.com/track/3wjx2rUwWGmTJmSPX9tgPu
